image,severity_gs,severity_method,absolute_error,bias,iou,dice,precision,recall,f1,method_annotation_missing,mask_resized
set_12_57_obj3,0.03294685248461115,0.020766946929268885,0.012179905555342263,-0.012179905555342263,0.6064491436226198,0.7550181666567395,0.9764289015560006,0.6154593124878617,0.7550181666567395,0,0
set_12_57_obj2,0.04820273099248264,0.031859596536302215,0.016343134456180422,-0.016343134456180422,0.6103833961361326,0.7580597236666171,0.9524920664551054,0.6295496607032696,0.7580597236666171,0,0
set_12_54_obj0,0.02564497081351014,0.016214866551945203,0.009430104261564938,-0.009430104261564938,0.6125929392190506,0.7597614057714009,0.9806891959380722,0.6200726277564339,0.7597614057714009,0,0
set_12_53_obj3,0.0015784063498367569,0.0013068211684587395,0.0002715851813780174,-0.0002715851813780174,0.436046511627907,0.6072874493927125,0.6703910614525139,0.5550416281221091,0.6072874493927125,0,0
set_12_51_obj0,0.08329610651250383,0.018747718944802115,0.0645483875677017,-0.0645483875677017,0.22145528256386957,0.36260890713744115,0.9868400560660333,0.2221112221112221,0.36260890713744115,0,0
set_12_48_obj2,0.06888209556612092,0.07991529404009526,0.01103319847397434,0.01103319847397434,0.48008327322798505,0.6487246790931543,0.6039428371105108,0.7006794583472894,0.6487246790931543,0,0
set_12_48_obj0,0.027697693997823365,0.008511468407975523,0.019186225589847842,-0.019186225589847842,0.2990643878002063,0.4604304307142655,0.979372738238842,0.3009600771027171,0.4604304307142655,0,0
set_12_47_obj0,0.0063610224900547485,0.04353854031273386,0.03717751782267911,0.03717751782267911,0.13040374749051975,0.23072065672113032,0.13221458295639588,0.904953560371517,0.23072065672113032,0,0
set_12_46_obj3,0.03647405226352595,0.024936673233886857,0.011537379029639094,-0.011537379029639094,0.5728623710768548,0.7284329279041072,0.8969439138739365,0.613224906511545,0.7284329279041072,0,0
set_12_43_obj3,0.017323202938727085,0.03498294488745907,0.01765974194873199,0.01765974194873199,0.4319920878663266,0.6033442384587423,0.4510571226697103,0.9108769619141697,0.6033442384587423,0,0
set_12_42_obj3,0.007719858584852645,0.008064860327644955,0.0003450017427923096,0.0003450017427923096,0.5329879101899827,0.6953582694907616,0.6804851157662624,0.7108961068878139,0.6953582694907616,0,0
set_12_37_obj3,0.03446642567386933,0.01376506689293643,0.020701358780932898,-0.020701358780932898,0.3990222521915037,0.5704301723099169,0.999366687777074,0.3991231767979091,0.5704301723099169,0,0
set_12_31_obj1,0.033443438757109166,0.02421452351227632,0.009228915244832846,-0.009228915244832846,0.2991795272514163,0.4605668746710774,0.5483351235230934,0.39701879455605965,0.4605668746710774,0,0
set_12_31_obj0,0.03548845491814244,0.07108393261132598,0.03559547769318354,0.03559547769318354,0.3304323622193357,0.49672929132320737,0.3723600016728702,0.7458429319371728,0.49672929132320737,0,0
set_12_30_obj3,0.033856998099126484,0.013920015384501595,0.01993698271462489,-0.01993698271462489,0.40256215394636846,0.5740382382537348,0.9851222104144527,0.40502457673402514,0.5740382382537348,0,0
set_12_25_obj0,0.0399886401114002,0.042169514782105934,0.0021808746707057333,0.0021808746707057333,0.6391653127538587,0.7798668112126375,0.7597006819141874,0.801132747868143,0.7798668112126375,0,0
set_12_22_obj2,0.010193057447508102,0.011158605644020648,0.0009655481965125459,0.0009655481965125459,0.6515946709729511,0.7890491322415057,0.754911131898971,0.82642089093702,0.7890491322415057,0,0
set_12_7_obj3,0.012798461781119265,0.002284232505389024,0.01051422927573024,-0.01051422927573024,0.1325343672893902,0.2340491752256458,0.7727085902178381,0.13791079812206572,0.2340491752256458,0,0
set_12_10_obj2,0.023560385692738633,0.02140298427063133,0.0021574014221073037,-0.0021574014221073037,0.3999748417124408,0.5714028992452378,0.6002013465047505,0.5452414975707345,0.5714028992452378,0,0
set_12_7_obj2,0.0,0.0014323220648400812,0.0014323220648400812,0.0014323220648400812,0.0,0.0,0.0,0.0,0.0,0,0
set_12_5_obj2,0.0,0.00917829270497484,0.00917829270497484,0.00917829270497484,0.0,0.0,0.0,0.0,0.0,0,0
set_12_4_obj3,0.007685687771850423,0.0093394715150007,0.0016537837431502772,0.0016537837431502772,0.4752920035938904,0.6443361753958587,0.5872883708021094,0.7136593591905565,0.6443361753958587,0,0
set_12_4_obj2,0.0044539321104786,0.002618691660437391,0.0018352404500412093,-0.0018352404500412093,0.5586061246040127,0.7168021680216802,0.9679780420860018,0.5691231845077999,0.7168021680216802,0,0
set_12_4_obj1,0.0034808331928329475,0.003608049905737014,0.00012721671290406638,0.00012721671290406638,0.35471587580550673,0.5236756756756756,0.5144435004248088,0.5332452664024658,0.5236756756756756,0,0
